identifier,size,path,session_time,sub_name,session_id,experiment_id,container_id,group,group_count,imaging_depth,location,fov_height,fov_width,specimen_name,sub_sex,sub_age,sub_genotype,stim_types,#_rois,session_end
0371c88f-90f9-462e-9e78-0238adcec4f9,672346175,sub-703100/sub-703100_ses-1326196206-acq-1326305867_ophys.nwb,2024-01-25 17:43:41.301000+00:00,703100,1326196206,1326305867,0,2,4,265,VISl,512,512,703100,M,P135.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",83,4226.178098
414db90e-5e1b-4174-af9f-75d9e193213e,635798018,sub-686381/sub-686381_ses-1302747806-acq-1302825975_ophys.nwb,2023-10-10 21:26:05.154000+00:00,686381,1302747806,1302825975,0,3,4,161,VISpm,512,512,686381,M,P137.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",63,4225.695816
7bb78834-b1ae-4308-89c7-d8c295ca4dc0,627176039,sub-695164/sub-695164_ses-1315689466-acq-1315844521_ophys.nwb,2023-12-05 22:59:03.780000+00:00,695164,1315689466,1315844521,0,2,4,257,VISl,512,512,695164,M,P136.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",56,4226.381454
598c5ddc-b815-4b71-9841-8be31a8f2275,616296533,sub-684475/sub-684475_ses-1293785946-acq-1293914856_ophys.nwb,2023-08-30 21:24:40.992000+00:00,684475,1293785946,1293914856,0,2,4,170,VISl,512,512,684475,M,P107.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",46,4201.6018
ee3a3925-9d13-4581-ae3e-f36b4fc33eb9,673843463,sub-703102/sub-703102_ses-1326010455-acq-1326110368_ophys.nwb,2024-01-24 22:31:29.539000+00:00,703102,1326010455,1326110368,0,3,4,267,VISpm,512,512,703102,F,P134.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",93,4226.980277
2b66db53-50a5-4480-93f6-aafd6574742b,815502530,sub-686385/sub-686385_ses-1310107209-acq-1310217325_ophys.nwb,2023-11-10 21:48:38.506000+00:00,686385,1310107209,1310217325,0,3,4,280,VISpm,512,512,686385,F,P168.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",190,4227.122411
1a0a91ae-d6cb-4a9b-be61-2b7ca60cc1b0,709230890,sub-686381/sub-686381_ses-1301762588-acq-1301884504_ophys.nwb,2023-10-05 21:42:55.120000+00:00,686381,1301762588,1301884504,0,0,4,275,VISp,512,512,686381,M,P132.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",122,4226.048942
9258d391-ca1a-47df-a304-955b6676bb40,611219481,sub-695164/sub-695164_ses-1315689466-acq-1315844517_ophys.nwb,2023-12-05 22:59:03.780000+00:00,695164,1315689466,1315844517,0,2,4,183,VISl,512,512,695164,M,P136.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",43,4226.381454
129a8c46-96dc-4e82-805a-3a9cc11182f5,628497423,sub-686381/sub-686381_ses-1298835451-acq-1299144130_ophys.nwb,2023-09-22 21:56:32.999000+00:00,686381,1298835451,1299144130,0,2,4,187,VISl,512,512,686381,M,P119.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",56,4227.180152
f26c82f8-d062-47a9-94c1-9532381f5e51,592850044,sub-695164/sub-695164_ses-1316419408-acq-1316561970_ophys.nwb,2023-12-08 22:34:22.847000+00:00,695164,1316419408,1316561970,0,1,4,177,VISam,512,512,695164,M,P139.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",27,4226.367933
b80a77a1-8edf-4085-92ae-9b9b212e6c74,674899092,sub-686381/sub-686381_ses-1302747806-acq-1302825963_ophys.nwb,2023-10-10 21:26:05.154000+00:00,686381,1302747806,1302825963,0,0,4,171,VISp,512,512,686381,M,P137.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",95,4225.695816
